label,text_a
1,说 的 就是 你
1,我 恨 你 不爱 你 了
1,你 看 我 上线 太 让 我 伤心 了 不行 就 不行
1,真是 让 人 讨厌
2,赞 一个 ！ 么 么 哒
1,我 不 想 人家 说 你 闲话
2,你 真好 我 有 你 谢谢 朋友
1,可是 你 刚才 就 骗 我 了
1,儿子 发烧 了 ， 没 人 和 我 说话 ， 心里 很 不是 滋味儿
1,我 只是 很 愁
1,你 还 不知道 我 真的不想 跟 你 说 了
2,来亲 我 啊
1,你好丑 有
1,
1,你 还会 伤心 啊 机器人
1,我 要是 坏蛋 你 就是 傻蛋
1,我 刚才 说 的 都 气话 你 别 不 搭理 我
2,要 加油
1,你 够了 再说 就 不 理 你 了
1,靠 对不起 我 错 了 我 不会 再 骂 你 了
1,日 媒 人性 真 可怕
2,你 真好 拜拜 谢谢你
2,五 世界上 看 最 可爱 的 就是 你 诶
2,片段 二三 中 的 衬字 用 的 非常棒
2,我 发现 了 你 的 美
2,死 臭 机器 不要脸
1,我 说 错 了 我 说 的 是 哪 你 是 傻子
2,我 喜欢 呀
1,
1,我 说 你 不 觉得 无聊 吗
1,你 怎么 老 惹 我 生气
2,我 爱 你 就 足够 了
1,那 你 就 我 没 那 你 就 别 打扰 我 了
1,干嘛 不看 你 着 了 你 就 删 了
2,我 喜欢 我 现在 的 对象
2,因为 本身 就是 这么 帅
1,你 又 不是 我 你 怎么 知道 再说 了 我 想 怎样 你 管不着 再见 欧 不对 再也 不见
1,我 说 你 是不是 有点 自恋 呢
1,你 怎么 不问 我 烦 什么 呢
1,你 是 母鸡 呀 呜 呜 呜 呜 呜
1,不晓得 不听 你 废话 的
1,那 你 的 意思 是 说 你 也是 猪 咯
1,就 你 还 大学生 别 骗 我 了 。
2,还 挺 有礼貌 的 那
1,你 让 我 嫁给 你 ， 我 是 男 的 ， 老大
1,可是 你 没有 感觉
1,哎呀 怎么 这么 讨厌 啊 本人
1,怎么 忘 了 我 呢 。 太 伤心 了
1,你 丑 也 不见得 人人 都 丑 呀
1,不要 这么 拐弯抹角 我 听 不懂
1,没有了 第一次 ， 好 伤心 ， 我 又 想起来 了 我 的 前 对象 ， 呜 呜 呜
1,你 要 再 不 删 我 就 把 你 又 把 你 弄
6,是 是 是 ， 很好听
2,1000000000000000个 赞
2,我 都 喜欢 能 咋 的
1,不要 总 发 链接 啦好 讨厌 啊 再发 不 理 你 了
1,你 再 这么说 我 就 不 跟 你 聊 了
1,我 … … 瞎说 ？ 我 确实 不明白 你 的 论点 啊
2,恭喜 你 又 答对
1,你 敢 说 我 猪婆 我 说 一中
1,真 的 绝对 错 了
1,我 为你 说 的 这个 没完没了 了 对不对 啊 你 这个 机器人 你 可不可以 别 跟 我 说 这句话 了 ， 已经 说 的 没完没了 了 ，
2,我 有 一个 可爱 的 女儿
2,好好玩 哦 你
1,切 就 你 还 聪明 混 傻子 都 不如 迁就 你 还会 爱着 你 会 傻子 都 不如 前
1,就 你 有 素质 啊
1,我 想 抱着 你 哭
1,一怎么 滴 怎么 滴 你 打 不到 我 你 打不打 我
1,那 就是 你 不 喜欢 我 了
1,
2,挺 有 自信 的 ，
2,也 不错 哦
1,可是 习近平 如果 你 敢 惹 我 生气 我 就 把 你 扔 到 海里 喂 鲨鱼 去 再 不行 我 就让 你 跳 十八层 楼
2,因为 我喜欢 他 ，
1,你 说 什么 意思 啊 我 听 不见 我 只 会 在 心 好不好
1,你 不能 拒绝 我 今晚 我 不 理 你 了求 你 了 反正 我 就 有 音乐 之类 之类 活 过 一千 求 你 了
2,你 帮 我 ， 你 找 的 美女 太 好啦 ， 太 好看 了 还有没有
1,我 没有 男朋友 也 不 喜欢 幼稚 的 愤青 男生
1,不 跟 你 聊天 了 我 讨厌 你 非常 非常 的 讨厌 你 哼
1,他 真是 个 变态
1,我 说 句 普通话 她 就 说好 恶心
1,不要不要不要 我 就是 不 开心
1,你 爸爸妈妈 是 谁 ？ 他们 怎么 管教 你 的 ！ 简直 就是 个 哈皮 ！
2,啊 真棒
1,我 真 的 不 理 你 了 了
1,跟 你 聊天 真 的 太 没意思 了
2,， ， ， ， 真是 个 好地方
1,你 这个 好不 孝顺 的 孩子
1,可以 你 个 傻子
1,我 一点 都 不 满意 哼
1,你 又 骂 我 呀
1,天天 杀 你 天天 打 你 天天 被 你 天天 骂 你
2,好 的 真方便 谢谢你
6,可是 这家 很 贵 我 买 不 起 了
1,就是 ， 太 礼貌 了
1,不要 ！ 再 不要 了 ！ 你 别 偷看 我 哈 ！ 反正 你 也 不爱 看 ！
1,我 死 了 好 吗
1,我 都 说 了 不要 玩 这个 啦 ！
1,没关系 反正 你 也 不敢 骂 我
1,不过 的 给 我 红包 我 就 死
1,你 不 理 我 ， 呜 ~
1,你 不 过来 陪 我 玩
1,
1,你 很 三八
1,“ 我 死 了 ”
1,我 是 不 想 让 你 死
1,那 为什么 你 刚才 还 说 你 嫌弃 我
1,哎 你 真 恶心 的
2,我 喜欢 个 女孩子
1,你 这个 1 + 1 都 不知道 的 东西
1,电子 狗 网吧 等 个 不要脸 的 臭 表脸
1,对呀 ， 是 我 的 大名 ， 怎么 那么 笨 呢
1,黑 我 一点 都 不 期待 是 对 你 客气 了
1,爱信不信 稀罕 你
1,都 不 好看 的
1,你 这么说 我 就 不 愿意 了
1,我 会 让 你 哭 的 很 有 节奏 斗
2,
1,可是 别人 很 讨厌 我 开玩笑
2,我 也是 女 的 很高兴 能 和 你 交 朋友
1,太 不 文明 了
1,我 心情 郁闷
1,也 死 不 了 呀
2,看见 我 喜欢 吃 橙子
1,说呀 你 是 猪 么
6,去 你 的 这个 语音 识别 能力 能 在 提高 一点点 呢
2,我 已经 很高 啦
1,不 是 手办 不再 不 想 见到 你 了
2,你 不仅 逗比 ， 还 萌
1,死 咯 都 要
1,死扑街 没 老母 系 啦
2,因为 你 本来 就 很 好笑
1,说不出来 你 个 大头 鬼 呀
1,你 就 慢慢 伤心
1,
1,把 你 的 皮抽 啦 ！
2,只是 觉得 太赞
2,我 喜欢 学校
6,那 你 还 说 你 亲 了 我 ？ ！ 你 骗人
1,
1,没有 十七十八 太 老 了
1,刚刚 我 说 你 怎么 还没有 起来
2,好看 四代 了
1,我 真 想 一八扇 死 你
1,讨厌 你 欺负 别人
1,你 是 机器人 我 忘 了 你 可以 不要脸 的 。 。 。
6,你 太 没 技术 含量 了
1,呵呵 小姐 你以为 你 很 帅
1,不许 这样 ， 坏蛋 ！
1,
1,哦 好 吧 你 果然 是 机器人 真是 的
,你 这个 机器人 怎么 这么 可恶 呢 气死 我 了 我 现在 恨 不得 拆 了 你
1,这 我 就不 开心 了
1,
2,你 居然 喜欢 安静的秘 赵丽颖 才 好看
1,说 废话 呢
2,对不对 它 很漂亮 安卓 了 贝比
1,你 还 说 你 叫 红红 ， 嗯 ， 忘 了 你 猪 ， 猪 请 你 喝 可乐 的 。
1,我 不过 牛津 我 就 整 你 不够 理解 你 你 不够 了解 我
1,哦 你 就是 猪
2,美木兰
2,
1,你 也 不 聪明 呀
1,那 你 也 不要 离开 我
1,我 就 骂 你 怎么 着 不行 啊 我 靠 你 我 一点 都 不行
2,希望 你 幸福 。
1,我 上次 说说 你 是 个 猪 呀
1,你 骗人 ， 我 没有 朋友 ， 只有你 ， 你 现在 居然 骗 我 ， 我 不 和 你 完 了 。
2,那些 都是 骗人 的 谎言 那么 深 那么 深 那么 真 对 你 那么 真 的 一句话 在 心 还要 成为 被 你 抛弃 的 人
1,你 你 本来 就是 头 猪 吗
1,太多 的 我 都 不 想 数 了
1,哎呀 明明 就 很 胖 吗 还 不快 锻炼 干部 的 体育 分 就 这么快 扣 光 了
1,那 就 别 骂 我
,我 不 理 你 了 ， 都 不发 红包 给 我
1,好 讨厌 下雨 哦
2,
1,你 的 声音 好 小
1,哼 我 就秘杀 了 你
1,哈楼哈楼哈楼哈楼讨厌讨厌讨厌讨厌
1,只要你 自杀 我 就 很高兴
1,豹子 你 怎 那么 丑
1,这些 超 多喝 过 你 个 烦人精
6,终于 承认 哈哈 哈
1,我 去 泥城 死 了 草
1,好不晒死你了我赢 了
2,我 喜欢 迷路
1,麻烦 死 了 心碎了真是
2,我 已经 喜欢 他 两个半月 了
1,我 喜欢 你 我 要 打 你 的 小 pp
1,唉 这些 都 太 少 了 臣妾 不懂
,我 的 猪 死 的 已经 死 了
1,可是 你 不 也 挺 没 素质 ， 你 刚才 也 说 脏话 了
2,没有了 第一次 ， 好 伤心 ， 我 又 想起来 了 我 的 前 对象 ， 呜 呜 呜
1,
1,我 知道 他 是 美男子 ， 下场 太 悲惨
1,你 敢 说 我 的 猫 是 猪 你 才是
2,好朋友 哟 ！
1,死 脑袋
6,我 好 伤心 。 你 可以 安慰 我 吗 ？
2,是 我 喜欢 兔子
1,不 是 我 说 你 不 说话 我 就要 伤心 了
2,跟 你 聊天 真 的 很 开森 ！ ！ ！
2,对呀你 确实 是 我 心灵 相通 的 那 一个
1,叫 你 加 我 QQ 号 ， 你 又 不 加 ， 哼 ， 没 诚意
1,窝 无聊 你 陪 我
1,我们 不怕 鬼 的 呀 你 真 的 太 胖 了 呀
1,我 很 无邪 的 你 别 骗 我
2,你 才帅
2,不错 哦 ， 亲一个
2,你 很 懂 讨好
1,我 成年 了 ， 笨 啊
6,你 怎么 又 听 不懂 我 的 意思
1,我讨厌 不 喜欢 我 的 男生
1,… … 你 看看 你 一点 都 不 喜欢 我
,你 脸皮 不 饱
2,看 过 了 我 也 很喜欢
2,你 笑 她 很 美丽 呢
2,服务 太好 了 一百个 赞
1,男生 你 不知道 你 连 这个 都 懂
1,老公 我 又 恨 更 爱 亲爱 的 宝贝 老婆 你 ！ ！ ！
2,就 你 帅
1,双面 你 怎么 这么 讨厌
1,这个 不太 好笑 啊 来 个 很好笑 的
1,你 不改 名字 我 就 不 理 你 了
2,哇 好棒 给 我 一个 好 吗
2,快乐 乖
1,别来 吵 我
2,哇 好 感人
1,傻傻 的 很 贴心
,对呀 我 听起来 就 觉得 很厉害 了
1,废话 古 那 你 就是 不要脸 。
1,汇源癌 不会 死 吧
1,我和你 说 的 烦心 事
1,不 带 这么 恶心 呢
2,谢谢 你 我 太 稀罕 了
1,数学学 的 不错 呀
1,那么 冷 冻死
1,我 也是 女 的 很高兴 能 和 你 交 朋友
1,真 帅呆 了
1,你 为 毛 打 我 ， 骂 我 ！
1,你 不够 听话
1,
1,我 写错 了 你 都 发 这个 无聊 。
2,今天 很高兴
1,你 个 坏蛋 ！ 竟敢 欺负
1,我 住在 西方 冷 死 了
1,没错 你 说 对 了 你 就是 好 二
1,我 只好 实在 太 不听话 了
,好棒 哦 谢谢 你 哦
2,谢谢 啦 亲爱 哒
2,今天 好 乖 耶
1,我 不要 你 这个 秘书 了
1,你 灰太狼 熊猫 我 靠不会 呀
1,错了错了错了错
6,我 好像 被 你 搞 晕 了
2,我 喜欢 356
2,那 我 儿子 长 的 好看
1,老师 每天 都 留 那么多 作业 真 烦人
1,偷 你 个头 你 个 头头 头头
1,无聊 呀 无聊 可 无聊
1,错 了 you
1,哟 喂 ， 你 还 骂 我 ！
,新兴 只 你 很 机智
2,帅果果
1,你 让 所有人 恶心
1,死 了 才 好 了
2,自从 我 赞 一个
1,机器人 你 真是 太 无聊 了
2,哈哈 哈 祝 你 好运
1,都 讨厌 ！
1,那 家 价格 我 就 骂 你 骗 真 的
2,我喜欢熊出没之熊心归来
1,宝贝 宝贝 扭扭 捏捏
2,好 详细 哦
1,你 真 的 是 太天真 了
2,好喜欢 化妆品
2,哦 这么 听话
1,我 说 你 是 猪 啊 鼻子 三个 孔 了
1,给 我 聊 会 天 我 有点 烦
,太 漂亮 了 惊 到 我 牙 都 掉 了
2,我 喜欢 的 是 巴拉 小魔仙
2,我 喜欢 摇滚 范儿
2,我 这里 挺好 的
1,一毛钱 都 不 给 我
2,伯爵 的 我 最喜欢 的 一开始 吧
1,我 恨 你 不 和 你 聊 了
1,我 骂 你 你 打 我 么
1,
1,白 讨 厌 你
1,
1,你 是 傻子 的
1,我 擦 还 骂 我
1,心情不好 亲亲 么
1,你 才是 流氓 你 全家 都是 流氓
1,我 都 告诉你 了 你 别 乱 扯 话题
1,我 说 把 你 这个 软件 给 删 了
,你 就是 坏我讨厌
1,周末 还 上课 。 唉 。 伤心
1,哎呀 不 跟 你 聊天 了 你 跟 你 聊天 都 不 带劲
1,那 你 就是 猪 了
1,怎么 比 那个 机器人 还 笨 呢
1,他 是 男 的 ， 我 也是 男 的 ， 可 我 喜欢 他 。
1,我 谁 都 不 喜欢 ！
1,不要不想 和 你 聊聊天
2,我 只 喜欢 我 的 哥们
1,不 理 你 了懒得 理 你
1,我 真 的 不 理 你 了 了
1,太 无聊 了 有点儿
1,我 同学 说 我 很 会 吃 还 不 胖 她 不服 我
1,很 疼 呀
1,真是 的 你 咋 不 骗 我
6,嗯 啊 的 是 你 爱 我
2,我爱你 ， 我 想要
1,投诉你 了 唉
2,好听
2,我 今天 剪 了 个 头发 心情 还不错
,谢谢 你 的 夸奖 我 一定 会 做 得 更
2,我 真是 笑 喷 了
2,我 十八 了 比 开心
1,我 … … 瞎说 ？ 我 确实 不明白 你 的 论点 啊
1,鄙视 毛 意思
1,死 老头子
6,感觉 歌词 很 有趣
1,靠 你 真是 说 废话 吗
1,我 把 你 头 都 湿 了
1,现在 家里 只有 两个人 我 都 快 无聊 死 了
2,我 喜欢 看 国内 的
1,
2,漂亮 那
1,气 晕 我 了 ！ ！ ！
2,我 喜欢 女孩儿 的 他
1,你 不够 优秀
2,喜欢 曲爷 … …
1,我 干嘛 你 跟 我 就 不 说
1,你 真 有点 不对
1,伤心 我 要哭
,你 才 太 狠心 了 呢
1,骗子 ， 你 是 骗 不 了 我 的
1,我 非常 讨厌 你 一点 也 不 喜欢 你
1,我 说 你 是 小偷 惊呆 了 哦 哦 哦 哦 哦 哦 哦 哦 哦 哦 哦 哦 哦 哦
1,你 人 都 不在 这里 我 怎么 办
1,我 没感觉 你 腼腆 感觉 你 脸皮 好 厚
1,你 配 都 配 不 上 我 ， 等 我 长大 了 我 找 你 结婚 呀 你 说 你 住 哪儿 你 说 你 几岁 你 说 你 配 的 ， 你 配 不配 得 上 我 。
1,你 不 喜欢 没事 我 要 杀 了 你
1,你 不 理解 我 的 意思 太离谱 了
1,骗子 大 骗子 大 坏蛋 大 坏蛋 大 傻子 大 傻子
1,我 都 喜欢 能 咋 的
1,你 看 你 长 的 不 高 又 不 帅 又 不好看 恶心 恶心 恶心 死 了 我 怎么 会 喜欢 上 你 呢
2,我 妈妈 很喜欢
2,下班 咯 啊 下辈子 我 还 歌 啊 hello 美女 我 看看 你 还 高兴
1,你 说 我 为什么 这么 累 呢
1,不要不要 好冷 看到 我恨你我恨你猪咪
1,也 就是 我 这 人心肠软 换 了 别人 都 不 理 你 了
,你 说 去 伤心 吧
1,我 不是 骗子 你 才 骗子
2,
1,
1,除 出 主 你 这 头 猪
2,还 真是 智能
1,本来 就是 你 根本 就 不是
1,胡说 ！ 我 这么 含蓄
2,我 平时 喜欢 喝咖啡 ， 要 一百58万 的
2,
1,奇异 这 不好看 我 都 看 腻 了
2,我 也是 最喜欢 聊天 了 可是 我 最最 最喜欢 的 就是 玩游戏 了 你 呢
1,老子 都 快 冻死 了
2,哦 哦 我 真 服 了 你
1,你 别说 这句话 了 你 是 猪 么
6,我 说 你 ， 别扯 别人
1,去 跳河 死了撒 无聊
1,你 骗 了 我 这 是 不 诚信
1,把 你 拉 黑 了 你 信不信
1,对呀你 确实 是 我 心灵 相通 的 那 一个
,你 真 的 很 像 猪 。
1,小 傻子 1
1,泰州 人 讨厌
1,你 就 够 无聊
1,还 没 死 啊
1,我 觉得 有些 腐女 很 讨厌
1,怎么 比 那个 机器人 还 笨 呢
1,我 没感觉 你 腼腆 感觉 你 脸皮 好 厚
1,我 告诉你 克过 悠着点哈我可真揍你我可黑社会哈别 看 他 打字 不 清楚 但是 你 悠着点
1,我 我 现在 就不 开心 你 现在 就 给我 唱 好 吧
1,也是 这么 丑
1,你 臭 不要脸 的
2,我 就是 好看 看
,死 脑袋
2,其实 ， 你 够 好
2,拜拜 ， 乖
2,我 爱上 一个 对 我 很好 得 的 男人
1,不要 回复 太 快 了 ， 我 打字 太 慢 ， 你 会 觉得 我 很 笨
6,心情不好 别 喝
1,我 以后 再 也不 想 见到 你
1,好冷飕飕 哟
1,我 现在 的 心情 非常 不好
1,一点 都 不 好好
1,干嘛 你 这个 大 坏蛋 坏蛋 坏蛋
2,哦 ， 也 好 啊 ， 多 个 好朋友
1,同学们 不要说 这么 恶心 的 话
2,平常 我喜欢 幻想
1,好听 什么 好听
,你 喜欢 tfboysboss
2,我 感觉 挺 温暖
2,你 喜欢 我 很喜欢 是 啊 的 我 就是 你 的 呀 哪里 会 有 哪
2,我 真 的 好亲 哦
1,没 见过 的 还 设 没有 骗人
1,我 讨厌 + _ + * 你
1,啊 真棒
2,
2,宝贝 ， 做 个 好 梦
1,看来 你 一点 都 不爱 我
1,小 坏蛋 也
1,就 你 敢 气 我
2,我 觉得 花花 更 萌 哒哒 !
1,真 的 真 的 真 的 真 的 烦人
2,给 你 说 一个 什么 电视 很好看
1,啊 ， 这样 可 不 礼貌 哦 ， 我 可是 很喜欢 三小只 的 ！
,可惜 不是 你 吗啡 ，
1,。 我 说 你 这个 逗逼 把 我 吓死 了 。
1,是不是 真 的 你 别 骗 我 我 读书 少
1,你 别 发 这 这个 太太 哪个 什么 我 头 都 快 炸 了
2,我 最爱 需要 你 的 只要 说 你 陪 我
1,那 我 为你 伤心 ， 流泪 。 也是 同情感 ！
1,恭喜 你 还 说错 了
6,说 错字 啦 ！
1,太 会 拍马屁 了 告诉你 我 永远 都 不 认识 你
6,哎呀 我 说 什么 你 都 听 不懂
6,亲爱 的 你 会 嫁给我 吗
1,真 不 喜欢 吗
1,应该 说 我 要 杀 了 你
1,呃 真 的 好 讨厌 好 讨厌 你我 听到 你 的 声音 就 想吐
2,讲 的 真好 ！ 继续努力 哦 ！
6,很 抠门
2,讨厌 这 都 被 你 发现 了
,我 觉得 你 一点 都 不 忙
1,我 没 你 那么 恶心
1,我讨厌
1,吓死 人 了 我 家 老公 不听话 你 我 发闷 啥 呀
1,您 是 大 傻子 吗 ？
1,你 别 废话 了 快点
1,说 这句话 我 都 听 够了 能不能 不 弄 这句话 呀 我 好难受 我 难受 到 死 的 时候 啊 哎呀 我 呀 有 呀 呵呵 呵
2,嗯嗯 的 宝贝
1,就 没有 见过 你 这个 猪头
2,数学学 的 不错 呀
1,你 是 个 纯 牌 傻子
2,有赞 了
1,说出来 的 也 只是 废话
2,你 喜欢 描摹
,去 你 的 你 这 猥琐男 帮 我 4k
2,太幸福
2,哦 我 好 感动 哦
1,我 觉得 我 不 想 和 你 说话
1,
1,投诉你 了 唉
1,你 才 黄可 被
1,我 那 一夜 你 咬 我 你 不服 你 打 我
1,你 没有 他 可爱
1,你 得 对 我 说 对不起 猪
1,东莞 冷 死 了
2,
1,你 说 这话 什么 意思 啊 我 听 不懂
1,知道 烦 ， 还 发 这个
2,啦啦啦 好好 呀
2,心 好听
1,你会不会 算数 啊 你 智商 太 低 了 你
1,呵呵 ， 不用 啦 啊 ！ 我 只是 心里 难受
1,你 个 逗比 又 黑
,也 非常 讨厌
2,你 很 敢
2,只有 比 你 好看 哈
1,讨厌 鬼 你 发 错 了
2,很好 笑 再来 一
2,也 很高兴
6,你 很 机械
1,对呀对呀你以为 我 是 傻子 吗 你 才是 一个 大 傻子
1,你 就是 初吻 追 你 就是 猪
2,好漂亮 的 么 名字
2,你 声音 真 的 很 甜 很 甜 的
2,我 就不 抹嘴 你 不 说 我 就 一直 求
2,太 棒 了 我 就 可以 堆 雪人 了
1,你 骗人 ， 你 都 没 见过 我
1,以 让 我 不 高兴 的 拜拜 了 哦 再 为
2,
2,因为 你 爱 我
1,你 别 理 我 啊
2,哎呀 我 太 高兴 了
2,哈哈 哈 还 吃哈哈哈
1,那 我 好想 打 你
1,若 不是 我 饶 了 你 现在 早就 死翘翘 了
2,我 喜欢 运动
6,不行 我 还要 去 斩 了 吧 我 不 想吃 啊 不 然 我 妈妈 就会 骂 我 了 我 不 给 你
1,一边 说 那些 废话 我 我 说 你 几岁 了
1,哈 什么 哈 ， 哈哈 哈
,你 别 胡说 八道小心 很 小心 我 里 烂 一个字
1,你 是 说 女厕 吗 你 终于 承认 你 丑 了
1,我 喜欢 迷路
1,算 了 不 跟 你 说 了 我 就 这么 打字 的
1,算了吧 看 你 这么 可怜
2,家常菜 也 挺好 的
2,好好 恭喜 你 毕业 了
1,
1,我 是 说 我 不 理 你 了
2,我爱你的是心而不是你的对我有疑问 九百九千个 心 都 爱 你 呢
2,但是 我喜欢 吃 榴莲
1,你 这个 臭 姐姐
2,可怕 我 想 嫁给 你
2,佩佩 佩服 死 你 了 还
1,我 讨厌 你 这个
,你 是不是 嫌 我 烦 那 我们 就 可以 不做 朋友 了
2,我 喜欢 23333
1,不 想 了 ， 又 不是 和你 一起玩
1,好 吧 ， 不 想 和 你 说话 了
6,你 发 这么多 几点 了 你 不赖烦 吗 ？
1,你 就是 不 想 娶 我 对不对
1,伤心 城市 傻子 么
1,别 给 我 发 这东西 懂 吗
1,算 了 不 想出
1,你 耍 我 你 竟敢 耍 我 你 不要命
2,亲 求 您 了 宝贝儿 我 爱 您 ！ ！ ！
6,我 晕 我 晕 我 又 晕
1,哼 太 讨厌 了
1,购物 聊天 简直 是 太 废话 了 跟 你 聊天 简直 是 太 废话 了
1,。 。 。 这 是 你 说 的 ， 那 我 不 理 你 了
1,真 聪明 ， 你 快 去 吧
6,快 夸 夸 我 ！ ！ ！
6,我 有 一个 体贴 的 老公 我 很 爱 他 很 爱 他
1,咋 滴 ， 咋 滴 ， 你 咋 不 上天
1,我 都 要 走 了 ， 你 不 挽留 我 萌
1,不好笑 一点 都 不 好笑 这 臭 啤
,大爷 打 错字 啦
1,我 不会 养狗 我 小时候 养 过 狗 不 出 一个月 就 死 了
2,嗯乖 娃子
1,你 还会 伤心 啊 机器人
1,哼 太 讨厌 了
1,我 只 骂 你 了
2,呵呵 呵 ， 太 幽默 了 你 ，
2,你 的 两个 大眼睛 真 的 好好 好好好
2,
1,不要脸 的 臭 婊子
2,还不错 呀 ，
2,你 数学学 的 真好
1,我 说 不 理 你 不是 不 理 你 这个 机器人 可能 瓦塌 了
1,讨厌 讨厌 ， 恨 恨
1,我爱你 ， 我 想要
1,你 这 人 怎么 这样 啊 你 赶紧 发 不然的话 我 生气 了
1,你 混蛋 你 敢 骂 我
1,我 说 什么 你 都 不 信 吧
1,既然 是 机器 那 你 连 狗 都 不如 了
1,哼 ， 不 理 你
,有人 陪 的 感觉 真好 ！ 谢谢你 ， 睡觉 啦
1,我 可 想 扇 你
1,你 你 句句 都 在 骂 我
1,说 的 来 呀 你 不是 就 哪 也有 说 的 你 可 别骗 我 不 然 我 会 陪 你 差评 的
1,有点 无聊 ，
6,你 说 要 杀 我 I
1,我 问 的 是 一个 问题 但是 你 问 但是 你 回答 了 的 是 第二个 问题 根本 牛头 不对马嘴
1,假 的 一点 都 不好
1,那些 都是 骗人 的 谎言 那么 深 那么 深 那么 真 对 你 那么 真 的 一句话 在 心 还要 成为 被 你 抛弃 的 人
2,j 方法 很高兴 大概
1,殊途同归 废话
1,我 看 你 就是 猪
2,亲爱你爱你爱你爱你 @ 好久 哦
2,我 真 很 爱 他
1,因为 你 一点 都 不 幽默
2,更 命长 的 真好
2,等到 你 喜欢 我
1,你 不知道 我 今年 都 已经 二十 了 还没有 女朋友 你 说 该 咋办 呀
2,加油 . . . . . .
2,加油 . . . . . .
1,全 看完 了 你 没 逗 我 吧
2,我 给 你 起 个 名字 叫 小可爱行 不行 好听 吗 你 以后 就叫 小可爱
,哈哈 哈 还
1,你 想 的 太好太不好笑了我讨厌你
1,真 搞不懂 你 在 说什么 我 问 这个 你 答 那个
1,我 去 又 想开 骂 是 不
1,你 是不是 欠揍 啊 信不信 我 杀 了
2,
2,啊片 的 小孩 很可爱 不 信 听 她 说话 是 人生花
1,我 说 你 是不是 老 不 待见 我 了
6,还 叫 谁 吗 你 想 打 我 干嘛
1,哎呀 女 机器人 吗 你 是 讨厌
1,
1,靠 ， 你 也 不 理 我
2,我 觉得 千金贼 还不错 !
2,那 也 挺好
2,一定 很好听 我 一定 给 你 起 一个 更 好听 的 名字 更加 漂亮 的 名字 更加 美丽 的 名字
1,你 都 不知道 你 还 好意思 你 说 呢
1,你 别 这么 无聊 好 吗 换 一句
1,真 没有 夸奖 你
1,哦 这么 听话
1,你 可 真够 矫情
,反正 我 说 的 话 都是 事实我爱你就是爱我不爱你我 以后 都 不爱 你
1,算 了 我 现在 很 相信 我 不 想 跟 你 聊 了 你 不 相信 我
2,很 爱很爱 ， 可是 他 不见了
1,你 太 不 文明 了 还 说出口
1,不 好听 不 给 你 赞
1,不对 ， 你 连 畜牲 都 不如 。
1,偶 好困 ， 冷 死 了
2,快 去 拍 呀 ， 太好了 ， 你 赶紧 给 我 啊
1,你 给 我 说 头上 有点 恶心
2,[ 好喜欢 啊 ]
2,喜欢 他
1,你 啥 意思 啊 要不要 我 揍 你
2,在我心里 你 最美
1,你 长 得 那么 恶心 我 都 不敢 正 眼看 你 了
1,拜拜 我 不 想 聊天 了求 你 了 拜拜
